x y total baseline
1024 3.02609 3.0376 0.0115125
2048 3.02274 3.03638 0.0136389
4096 3.01164 3.02402 0.0123829
8192 3.02434 3.0375 0.0131568
16384 3.01345 3.02817 0.014715
32768 3.41241 3.43107 0.0186645
65536 15.1233 15.1522 0.0289141
131072 19.5087 19.5448 0.0361005
262144 22.854 22.9163 0.0622685
524288 35.7092 35.8296 0.120384
1048576 119.134 119.411 0.277108
2097152 159.922 160.588 0.665849
4194304 177.435 178.924 1.48899
8388608 186.38 189.597 3.2171
16777216 190.636 197.413 6.77746
33554432 193.98 208.024 14.0442
67108864 195.707 224.425 28.7184
134217728 197.287 255.395 58.1085
