x y total baseline
1024 3.00989 3.02154 0.0116482
2048 3.01261 3.02372 0.0111051
4096 3.01442 3.02496 0.0105436
8192 3.01213 3.02396 0.0118261
16384 3.01467 3.02632 0.0116477
32768 3.05795 3.07009 0.0121439
65536 3.98907 4.00086 0.0117886
131072 3.97796 3.99229 0.0143252
262144 3.95074 3.96786 0.0171211
524288 5.2907 5.31612 0.0254169
1048576 6.36541 6.40372 0.0383107
2097152 6.30207 6.36782 0.0657542
4194304 6.28546 6.39064 0.105181
8388608 6.24421 6.44273 0.19852
16777216 6.33089 6.69352 0.362631
33554432 6.2245 6.93032 0.705816
67108864 6.26052 7.64347 1.38295
134217728 6.29481 9.04039 2.74558
