x y total baseline
1024 23.0359 23.0481 0.0121961
2048 23.0371 23.048 0.0109133
4096 23.0354 23.048 0.0125643
8192 23.0357 23.0481 0.0123578
16384 23.0378 23.0493 0.0115073
32768 23.048 23.0596 0.0116286
65536 23.0446 23.0584 0.0138385
131072 23.0455 23.0595 0.0139959
262144 23.0472 23.0638 0.016602
524288 23.3773 23.4011 0.0237872
1048576 24.08 24.1162 0.0361635
2097152 24.0906 24.1506 0.0600116
4194304 24.0799 24.1849 0.104991
8388608 24.0734 24.2663 0.192888
16777216 24.0756 24.4316 0.356018
33554432 24.0732 24.7716 0.698436
67108864 24.0726 25.4471 1.37452
134217728 24.0823 26.8092 2.72695
