x y total baseline
1024 3.0187 3.03022 0.0115223
2048 3.01358 3.02728 0.0137007
4096 3.01242 3.02387 0.0114472
8192 3.00867 3.02211 0.0134373
16384 3.01222 3.0237 0.0114803
32768 3.01642 3.0302 0.01378
65536 19.6897 19.6897 0
131072 19.2929 19.3065 0.0136112
262144 18.9414 18.9594 0.0179658
524288 37.6256 37.6471 0.0214993
1048576 54.3718 54.4061 0.0342618
2097152 54.6187 54.6742 0.0554801
4194304 54.3132 54.4132 0.100021
8388608 54.1035 54.2912 0.187707
16777216 54.0352 54.3977 0.362504
33554432 54.0105 54.72 0.709517
67108864 53.9224 55.3264 1.40402
134217728 53.9111 56.7159 2.80477
