x y
1 1.46747
1.20898 1.34349
1.46582 1.26956
1.76855 1.22901
2.14551 1.27452
2.5957 1.36712
3.1377 1.37854
3.79883 1.48714
4.59863 1.42202
5.55664 1.35079
6.72754 1.29705
8.1416 1.36309
9.85059 1.42459
11.9238 1.41417
14.416 1.49995
17.4531 1.4346
21.1201 1.34474
25.5498 1.36255
30.9189 1.43078
37.3955 1.39471
45.2461 1.39379
54.7656 1.4908
66.2695 1.57453
80.1934 1.37387
97.0146 1.35604
117.375 1.36354
142.037 1.42528
171.855 1.45202
207.99 1.49719
251.644 1.54857
304.475 1.44448
368.46 1.36744
445.771 1.3856
539.382 1.37648
652.643 1.44288
789.697 1.43628
955.558 1.50917
1156.27 1.38629
1399.08 1.46141
