x y
1 1.09169
1.20898 0.371752
1.46582 0.469011
1.76855 0.447289
2.14551 0.528632
2.5957 0.709691
3.1377 0.416342
3.79883 0.409266
4.59863 0.520292
5.55664 0.630417
6.72754 0.513293
8.1416 0.451886
9.85059 0.424808
11.9238 0.433699
14.416 0.415701
17.4531 0.415082
21.1201 0.45791
25.5498 0.440226
30.9189 0.428356
37.3955 0.444021
45.2461 0.438887
54.7656 0.421258
66.2695 0.406077
80.1934 0.442201
97.0146 0.462826
117.375 0.460296
142.037 0.452242
171.855 0.476128
207.99 0.560872
251.644 0.558108
304.475 1.35882
368.46 1.48099
445.771 1.58438
