x y
1024 7.408000
1238 9.258000
1501 11.567000
1811 13.934000
2197 16.928000
2658 19.119000
3213 23.469000
3890 28.454000
4709 34.231000
5690 41.463000
6889 49.450000
8337 58.814000
10087 70.617000
12210 86.619000
14762 103.014000
17872 125.207000
21627 149.557000
26163 188.638000
31661 215.402000
38293 264.456000
46332 329.847000
56080 374.058000
67860 465.360000
82118 572.554000
99343 684.506000
120192 813.234000
145446 1000.165000
175980 1214.558000
212982 1435.754000
257683 1762.113000
311782 2154.753000
377303 2684.280000
456469 3067.071000
552327 3759.888000
668306 4502.672000
808650 5686.423000
978491 6608.812000
1184016 8228.831000
1432659 9569.415000
