x y
1024 11.084000
1238 4.623000
1501 6.957000
1811 7.602000
2197 11.446000
2658 18.194000
3213 13.894000
3890 17.213000
4709 25.184000
5690 24.330000
6889 32.850000
8337 35.826000
10087 42.580000
12210 53.185000
14762 64.769000
17872 74.946000
21627 91.748000
26163 112.932000
31661 132.430000
38293 160.518000
46332 201.032000
56080 234.859000
67860 297.910000
82118 345.666000
99343 425.310000
120192 511.407000
145446 646.047000
175980 844.252000
212982 1215.046000
257683 1506.934000
311782 4255.776000
377303 5422.871000
456469 6725.819000
552327 8216.275000
668306 10124.899000
808650 13075.290000
978491 15244.576000
1184016 18888.316000
1432659 23968.943000
