x y
1024 10.871000
1238 12.438000
1501 14.685000
1811 17.125000
2197 21.575000
2658 26.138000
3213 32.353000
3890 42.315000
4709 48.677000
5690 56.008000
6889 64.139000
8337 80.169000
10087 100.600000
12210 122.494000
14762 154.516000
17872 179.622000
21627 201.116000
26163 257.028000
31661 308.192000
38293 368.840000
46332 459.736000
56080 557.647000
67860 732.722000
82118 786.612000
99343 928.220000
120192 1108.881000
145446 1425.511000
175980 1763.561000
212982 2149.600000
257683 2728.748000
311782 3112.508000
377303 3670.590000
456469 4249.745000
552327 5175.411000
668306 6496.833000
808650 8167.317000
978491 9973.844000
1184016 11407.584000
1432659 13984.862000
